Date,Adj Close,Volume
1/3/2019,15.39,136500
1/4/2019,15.94,182700
1/7/2019,16.129999,79600
1/8/2019,16.49,101500
1/9/2019,16.58,61700
1/10/2019,16.639999,80500
1/11/2019,16.98,91600
1/14/2019,16.860001,97800
1/15/2019,16.99,107800
1/16/2019,17,133500
1/17/2019,19.26,846900
1/18/2019,19.629999,321400
1/22/2019,19.68,171900
1/23/2019,19.66,126400
1/24/2019,19.75,69400
1/25/2019,19.43,70500
1/28/2019,19.68,83100
1/29/2019,19.709999,82800
1/30/2019,19.610001,137800
1/31/2019,19.450001,95000
2/1/2019,19.709999,74800
